AL,Alabama,4864680,292125,783832,93.24,319903,17.5
AK,Alaska,738516,54240,78428,1.11,23700,10.8
AZ,Arizona,6946685,436102,1158320,62.91,362127,16.1
AR,Arkansas,2990671,190311,487536,56.67,196481,17.6
CA,California,39148760,2480679,5315457,241.65,1706075,14.3
CO,Colorado,5531141,335199,740638,54.72,224819,10.9
CT,Connecticut,3581504,184983,587580,644.54,137250,10
DE,Delaware,949495,54854,167129,388.58,39958,11.9
DC,District of Columbia,684498,44692,81712,11496.81,43023,16.8
FL,Florida,20598139,1117420,4064376,323.90,1058418,14.8
GA,Georgia,10297484,655810,1352289,177.02,556313,16
HI,Hawaii,1422029,90388,245955,129.94,46606,9.9
ID,Idaho,1687809,114164,253801,20.99,83771,13.8
IL,Illinois,12821497,776957,1894903,220.00,611097,13.1
IN,Indiana,6637426,418299,996063,183.74,340323,14.1
IA,Iowa,3132499,197430,513312,56.09,144293,11.7
KS,Kansas,2908776,194202,437777,35.39,137977,12.4
KY,Kentucky,4440204,274440,691509,110.58,303753,17.9
LA,Louisiana,4663616,309339,676707,88.97,327480,19.4
ME,Maine,1332813,64437,259176,37.83,70878,12.5
MD,Maryland,6003435,366174,875337,487.08,199436,9.4
MA,Massachusetts,6830193,362681,1078224,653.98,292213,10.8
MI,Michigan,9957488,572374,1620944,103.36,547973,15
MN,Minnesota,5527358,351740,830112,64.54,213855,10.1
MS,Mississippi,2988762,188575,449478,61.66,222287,20.8
MO,Missouri,6090062,372932,981692,87.89,328844,14.2
MT,Montana,1041732,61810,183823,7.22,57773,13.7
NE,Nebraska,1904760,131812,286080,24.94,85990,11.6
NV,Nevada,2922849,182311,438051,27.44,137359,13.7
NH,New Hampshire,1343622,64079,227984,145.09,42371,7.9
NJ,New Jersey,8881845,521684,1376863,1021.27,330118,10.4
NM,New Mexico,2092434,128357,341515,17.23,144776,20
NY,New York,19618453,1163606,3068689,358.21,1044943,14.6
NC,North Carolina,10155624,603193,1570998,192.94,567263,15.4
ND,North Dakota,752201,52820,109910,10.75,35632,10.9
OH,Ohio,11641879,695933,1892861,260.77,656045,14.5
OK,Oklahoma,3918137,263992,589230,56.41,225112,16
OR,Oregon,4081943,231927,682546,42.60,210967,14.1
PA,Pennsylvania,12791181,709250,2229861,278.09,620019,12.8
RI,Rhode Island,1056611,54587,174210,684.35,56361,13.1
SC,South Carolina,4955925,290090,829083,158.78,291509,16
SD,South Dakota,864289,60407,136808,11.44,41175,13.6
TN,Tennessee,6651089,403591,1045213,160.64,397021,16.1
TX,Texas,27885195,1998869,3337814,106.86,1362378,15.5
UT,Utah,3045350,252865,320269,37.23,96975,10.3
VT,Vermont,624977,29676,113550,65.13,29278,11.2
VA,Virginia,8413774,509955,1230246,199.13,330813,10.9
WA,Washington,7294336,453008,1073499,105.69,302663,11.5
WV,West Virginia,1829054,99291,344719,74.53,128768,17.8
WI,Wisconsin,5778394,335920,924695,88.76,267846,11.9
WY,Wyoming,581836,37270,87777,5.91,25473,11.1